HOLNAM,PROJECTCODE,SAMPLEID,SAMPFROM,SAMPTO,CU_AT_PCT,CUSOL_AT_PCT,CNCU_AT_PCT,CUSFE_AT_PCT,FET_AT_PCT,FE_AT_PCT,S_AT_PCT,SULFURO_AT_PCT,MO_AT_PPM,AG_AT_PPM,MINZN,INDBN,USAR,AS,MIN_BN,CORRELATIVO
D-6554,FY22,S71491459960,46,62,0.31,0.05,0.31,0.15,2.7,2.4,2.1,2,8,0.7,6,,1,42.875,,1
D-6554,FY22,S71491459960,46,62,0.31,0.05,0.31,0.15,2.7,2.4,2.1,2,8,0.7,6,,1,42.875,,1
D-6554,FY22,S27936106906,62,76,1.03,0.08,0.95,0.51,4.3,4.3,4.7,4.3,9,1,6,,1,24.571,,2
D-6554,FY22,S93907653911,76,92,0.42,0.06,0.42,0.22,3.1,3,3.3,3.1,8,0.6,6,,1,25.375,,3
D-6554,FY22,S41099983368,92,106,0.56,0.06,0.51,0.28,3.6,3.5,4.3,4.1,3,0.8,6,,1,46.143,,4
D-6554,FY22,S61665817144,106,122,0.48,0.04,0.47,0.24,2.4,2.5,3.2,2.6,5,1,6,,1,54.25,,5
D-6554,FY22,S69294152455,122,136,0.5,0.05,0.48,0.23,2.4,2.4,2.6,2.5,4,1,6,,1,66.571,,6
D-6554,FY22,S71413130807,136,152,0.5,0.04,0.49,0.22,2.3,2,2.1,2,4,1.4,6,,1,62.25,,7
D-6554,FY22,S16794084874,152,166,0.47,0.03,0.46,0.17,2.1,1.8,2,1.6,18,1.1,6,,1,122.286,,8
D-6554,FY22,S99713415101,166,182,0.74,0.04,0.61,0.24,2.5,2.1,2.4,1.8,50,1.7,7,,1,110,,9
D-6554,FY22,S71892286329,182,196,0.26,0.02,0.15,0.04,2.8,2.6,2.5,2.4,29,1.1,8,,1,56.571,,10
D-6554,FY22,S96159086524,196,212,0.51,0.04,0.48,0.2,2.4,2.4,2.3,2.1,18,1.5,6,,1,79.75,,11
D-6554,FY22,S81214578868,212,226,0.21,0.03,0.2,0.09,2.9,2.8,3.2,3,24,1.2,6,,1,61.429,,12
D-6554,FY22,S71842696282,226,242,0.29,0.04,0.29,0.13,3,2.6,3,2.7,20,1.3,6,,1,52.75,,13
D-6554,FY22,S41891464699,242,252,0.4,0.05,0.38,0.18,3.3,3.3,3.6,3.2,16,1,6,,1,39,,14
D-6554,FY22,S83939719785,252,260,0.51,0.05,0.49,0.23,3.7,3.7,4,3.6,19,0.9,6,,1,26.25,,15
D-6553,FY22,S89857544647,48,64,4.01,0.06,4,1.48,7.2,7.4,9.1,8.5,28,15,6,,1,3689,,16
